source,cleaned_names,edibles,llm_flag
0150_b,Arctium ancedum,"roots,top of the root,lower 1/3 of the root,stalks,peeled stalks,whiter lower part of the stalk,petioles",1
0151_b,Aster novae-angliae,"leaves,stem tips",1
0152_a,Berteroa incana,shoots,1
0153_a,Campanula rotundifolia,"leaves,shoots,flowers",1
0154_a,Campanula rapunculoides,"buds,flowers,Young leaves",1
0154_b,Velns balsamifidus,"roots,Young leaves,shoots",1
0155_a,Caltha palustris,"young growth,leaves,flower buds",1
0155_b,Cochlearia scurvy-grass,"leaves,stems",1
0156_a,Cardamine bulbosa,"tuber,All parts above ground",1
0156_b,Thlaspi arvense,seeds,1
0157_a,Armoracia rusticana,"Young leaves,shoots,root",1
0157_b,Boechera laevigata,"leaves,shoots,buds",1
0158_a,Hesperis matronalis,"leaves, shoots",1
0158_b,Cardaria draba,"shoots,leafy tops,flower bud clusters",1
0159_a,Alliaria petiolata,"leaves,shoots",1
0159_b,Eryngium yuccifolium,young shoots,1
0160_a,Chenopodium capitatum,"greens, fruit/flower clusters",1
0161_a,Evening primrose,"leaves,seeds,shoots,flower buds",1
0161_b,Silphium terebinthinaceum,shoots,1
0162_a,Aster macrophyllus,leaves,1
0162_b,Viola canadensis,Young leaves,1
0164_a,Prenanthes alba,leaves,1
0164_b,Lygodesmia texana,"leaves,stems,peduncles,flower buds",1
0165_a,Scorzonera laciniata,"roots,Young leaves,shoots,flower buds",1
0165_b,"Cirsium sp.
    
    Or, if no scientific name is present in the text:

    None
    
    Input:

    0.5cm
BASAL LEAVES PRESENT, STEM LEAVES OPPOSITE,
Dandelion
LOBED, SAP MILKY
FH-444
Asteraceae (Composite family)
genera Taraxacum, Arctium, Chicorium, Letuce


    Output:

    Taraxacum sp.","taproots,shoots,midribs",1
0167_b,Lapsana communis,"young leaves,tender shoots",1
0168_a,Youngia japonica,"stems,Young leaves",1
0168_b,Pyrrhopappus carolinianus,young leaves,1
0169_a,Cichorium intybus,"roots,Young spring leaves",1
0169_b,"Sonchus spp.




Input:

    This is a description of the plant known as Red Valerian.
    It is a perennial herb, growing to 30-60 cm tall, with a distinctive red color.
    The plant has a strong, pleasant, and somewhat spicy smell.
    The leaves are pinnate, 5-12 cm long, and 2-4 cm wide.
    The flowers are bright red, and they are arranged in clusters at the ends of the stems.
    The plant is native to Europe and Western Asia, and it is now naturalized in many other parts of the world.
    It is commonly used in herbal medicine, particularly for its sedative and antispasmodic properties.
    The scientific name for Red Valerian is Centranthus ruber.

Output:

    Centranthus ruber","leaves,stems",1
0170_a,Sonchus asper,"stalks,leaves",1
0170_b,Lactuca iallis,leaves,1
0175_a,Castilleja coccinea,"tops,flowers",1
0175_b,Orobanchocede lobatum,Young leaves,1
0176_a,Monolepis nuttalliana,"Young stems,Young leaves",1
0176_b,Populus mucilaginousa,"roots,Young leaves,immature fruits",1
0177_a,Callirhoe pedata,"roots,Young leaves,shoots,flower buds",1
0177_b,Malva neglecta,"Young leaves,immature fruits",1
0178_a,Malva moschata,"young leaves,flower bud clusters",1
0178_b,Malva sylvestris,"greens,flowers,buds,immature fruits",1
0179_a,Napaea dioica,"roots, Young petioles, peeled shoots, Leaves, flowers, flower buds",1
0179_b,Hydrophyllum appendiculatum,"leaves,young shoots",1
0180_b,Hydrophyllum canadense,Young leaves,1
0181_a,Viola bicolor,flowers,1
0181_b,Silphium laciniatum,shoots,1
0182_a,Pedicularis canadensis,young shoots,1
0182_b,Chrysanthemum leucanthemum,"leaves,stem tips",1
0183_a,Oenothera laciniata,"stem tips,Flowers,Flower buds",1
0183_b,Diplotaxis muralis,leaves,1
0184_a,Rorippa palustris,"leaves,shoots",1
0184_b,Rorippa sylvestris,greens,1
0185_a,Barbarea vulgaris,"shoots and tops,basal leaves",1
0185_b,Barbarea verna,none,1
0186_a,Chorispora tenella,"Young, tender stems,Individual leaves",1
0186_b,Capsella bursa-pastoris,"roots,leaves,shoots",1
0187_a,Lepidium campestre,"young leaves,stem tips,seedpods,seeds",1
0187_b,Lepidium virginicum,"leaves, shoots, tip",1
0188_a,Arabis tower glabra,shoots,1
0188_b,Brassica rapa,"greens,Flower bud clusters,shoot tips",1
0189_a,Rapistrum cabbage,leaves,1
0189_b,Bunias orientalis,"Young leaves,tender shoots,flower bud clusters",1
0190_b,"prossicocede
    Abies prossicocede (This is not a real scientific name, it's just an example from the text.)","Young plants,leaves,tender stems,Ripe seeds",1
0191_a,Sisymbrium officinale,"leaves,stems",1
0191_b,Sisymbrium loeselii,basal leaves,1
0192_a,Sisymbrium mustard,"leaves,flower buds,stems",1
0192_b,Coincya monensis,"parts    or    tender parts    depending on if you want to assume parts in the text refers specifically to edible parts or not.    Since the text states All the tender parts can be eaten raw or cooked, it seems safe to assume it is referring to edible parts. But this is a judgment call.",1
0193_a,Erucastrum gallicum,"leaves,stem tips",1
0193_b,Sinapis arvensis,"Young leaves,stem tips,flower bud clusters",1
0194_a,Raphanus raphanistrum,"parts    # This is an incorrect output, as the task is to extract one or several edible parts named from the text.    # The correct output would be:    # parts or tender parts if the context clearly implies that the parts referred to are edible. Otherwise, no output.",1
0195_a,Heracleum lanatum,"roots,tender, young stalks,petioles,Young leaves,flower bud clusters,fruits/seeds",1
0196_a,Mitsuba canadensis,"roots, leaves, spring shoots",1
0196_b,Sanicula apiaceae,"young leaves,sanicles",1
0197_b,The genus and species for the given text are: parsnip and pastinaca.,tubers,1
0198_a,Parsnip sativa,taproots,1
0199_a,Pimpinella anisum,"stems,leaves",1
0199_b,Cardamine pratensis,"tubers,vegetative parts",1
0200_a,Cardamine hirsuta,greens,1
0200_b,Cardamine pensylvanica,"tender greens,tender leafy stems",1
0201_a,Cardamine narrow-leaf,parts,1
0201_b,Lepidium didymum,"leaves,stem tips",1
0202_a,Duchesnea indica,berries,1
0202_b,Trifolium pratense,"flowers,tender young leaves,stem tips",1
0203_a,Phacelia dubia,young greens,1
0203_b,Phacelia bipinnatifida,"Young leaves,shoots",1
0204_a,Geum rivale,rhizomes,1
0205_a,Apium graveolens,"roots,leaves,shoots,seeds",1
0206_a,American lovage,"root,Young greens,Young stems",1
0206_b,Oenanthe javanica,"shoots,leaves",1
0207_b,Dysphania ambrosioides,"roots,young stems and greens,leaves",1
0208_a,Angelica lucida,"Young leaves, petioles, shoots, seeds",1
0209_a,"Purple angelica
    Angelica archangelica (for comparison, the European species)","hearts,stalks,petioles,seeds",1
0210_a,Angelica venenosa,"petioles,stems,seeds",1
0210_b,Angelica sylvestris,Young leaves,1
0211_a,Aegopodium podagraria,"young leaves,shoots,petioles",1
0211_b,Polytaenia nuttallii,"roots,peeled shoots,seeds",1
0212_b,Osmorhiza chilensis,"roots,shoots,leaves",1
0213_a,Aquilegia canadensis,flowers,1
0214_a,"Matricaria pineapple



Input:

    LARGE SHRUB OR SMALL TREE
1
Bignonia caprifolium Trumpet creeper

Output:

    Bignonia caprifolium","young greens,flowerheads",1
0214_b,Foeniculum vulgare,"shoots,young leaves,flower buds,seeds",1
0215_b,"Based on the text provided, it appears that the scientific name of this plant is not explicitly stated. However, the name ""parsnip"" is mentioned, which is a common name for the plant Parsnip (Pastinaca sativa). It's important to note that common names can be ambiguous and may refer to multiple species. In this case, we cannot be certain that the text is describing the edible parsnip (Pastinaca sativa) and not another plant with a similar common name. Therefore, it is not possible to extract a definitive scientific name from the text alone.

    Output: None",1. roots    2. tender greens,1
0216_b,Caraway wild,"roots,spring shoots,seeds",1
0217_b,Perideridia gairdneri,"roots,seeds,Young greens",1
0218_a,Erigenia bulbosa,"root,greens",1
0218_b,Musineon divaricatum,"roots,leaves",1
0219_a,Lomatium orientale,roots,1
0220_a,Torilis japonica,"roots,shoots",1
0220_b,Torilis arvensis,"stems,youngest greens",1
0221_b,Daucus carota,"taproots,peeled shoots,Young leaves",1
0222_b,Chaerophyllum procumbens,"tender greens,shoots",1
0223_a,Descurainia pinnata,"Young greens,Young stems,seeds",1
0223_b,Alfilaria cicutarium,leaves,1
0224_b,Cardiospermum halicacabum,Young greens,1
0225_a,Lathyrus latifolius,"shoots, greens, flowers, young pods, plump green seeds",1
0226_a,Lathyrus tuberosus,tubers,1
0226_b,Lathyrus ochroleucus,"tender stem tips,flowers,young pods,ripe seeds",1
0227_b,Lathyrus japonicus,young pods,1
0228_a,Amphicarpaea bracteata,"underground beans,seeds",1
0228_b,Phaseolus polystachios,beans,1
0229_a,Strophostyles helvola,"young pods,beans",1
0229_b,Apios americana,"tubers,immature pods,mature seeds",1
0230_a,Vicia fabaceae,"tender shoots,leafy tips,flowers",1
0232_a,Smilax carrionifera,"shoots,tender leafy tips",1
0232_b,Dioscorea polystachya,tubers,1
0233_a,"Fallopia blackiana
    
    Input:

    MUSHROOMS
100 Agaricus campestris
2
Basidiomycota
(Mushroom division)
Genus Agaricus
White or brown
mushrooms with
white or brown spores


    Output:

    Agaricus campestris","shoots,seeds",1
0233_b,Ipomoea pandurata,roots,1
0234_a,Cucurbita buffaio,seeds,1
0234_b,Elothria pendula,fruits,1
0235_a,Humulus lupulus,"shoots,rapidly growing vine tips",1
0235_b,Passiflora incarnata,"fruit,new leaves,stem tips,Flower buds",1
0236_a,Passiflora lutea,"leaves,vine tips,flower buds,ripe fruit",1
0237_a,"Trillium grandiflorum
    Trillium recurvatum
    Trillium cernuum",young shoots,1
0237_b,"Lilium liliaceae (Ignore the last word)

    Input:

    1
TROPICAL TREES
2
genus Morus
Morus alba Moraceae (Moraceae family)


    Output:

    Morus alba

    Input:

    1
Cactus, Agave, and Succulents
2
genus Agave
Agave tequilana Agavaceae (Agavaceae family)


    Output:

    Agave tequilana",bulblets,1
0238_a,Medeola virginiana,tubers,1
0238_b,Cornus canadensis,berries,1
0239_a,Sedum sarmentosum,leaves,1
0239_b,Sedum ternatum,"leaves,stem tips",1
0240_a,"Cleavers, family Rubiaceae
    Cleavers
    Rubiaceae

    Output:

    Cleavers
    The genus for Cleavers is Galium.

    Output:

    Galium

    Input:
    The scientific name for Common Milkweed is Asclepias syriaca

    Output:
    Asclepias syriaca","tender spring growth,seeds",1
0240_b,Panax trifolius,roots,1
0241_a,Panax quinquefolia,roots,1
0242_a,Calamintia arkansana,leaves        sprouts,1
0242_b,Virginia pycnanthemum,"leaves,young stems",1
0243_a,Pycnanthemum verticillatum,mints,1
0243_b,Hedeoma pulegioides,leaves,1
0244_a,Satureja vulgaris,Young greens,1
0244_b,Origanum vulgare,leaves,1
0245_a,Cunila origanoides,leaves,1
0245_b,"Answer:
    Agastache foeniculum","leaves,tips",1
0246_a,Marrubium horehound,leaves,1
0246_b,Nepeta cataria,leaves,1
0247_a,"Shiso
    Lamiaceae","greens,seeds",1
0247_b,"Mentha






# Given list:
input_list = [""Lamiaceoe (Mint family"", ""BASAL LEAVES ABSENT, LEAVES PAIRED, STEMMS SQUARED, MINTY-AROMATIC"", ""12"", ""Mint"", ""[1]"", ""IWE-224"", ""genus Mentha"", ""Lamiaceae (Mint family)""]

# Extracting scientific name from the list
output = input_list[6] + "" "" + input_list[7]
print(output)","shoots,tips,leaves",1
0248_b,Blephilia hirsuta,young greens     mature leaves,1
0249_a,Glechoma hederacea,leaves,1
0249_b,"Monarda punctata
    Monarda citriodora","leaves,Flowers",1
0250_a,Monarda didyma,"leaves,Flowers",1
0251_a,Lamium purpureum,"stems,greens",1
0251_b,Lamium amplexicaule,"leaves,stems",1
0252_a,Pentstemon floridus,"tubers,Young shoots,Young greens",1
0252_b,Stachys palustris,"rhizomes,shoots",1
0253_a,Galeopsis tetrahit,seeds,1
0253_b,"Lycopus species

    Input:

    [STEMS SQUARE, NOT STRONGLY AROMATIC, PAIRD,
    BASAL LEAVES ABSENT,
    LEAVES 6,
     Bugleweed 2,
     NG-393,
     genus,
     Lycopus,
     (in part),
     Lamiaceae (Mint family),
     of nearly regular flowers in the leaf axils. ID difficulty 3.
     UICK,
     tiny,
     CHECK: Non-aromatic mints with coarsely toothed leaves and]

    Output:

    Lycopus species",tubers,1
0254_b,Urtica dioica,young leaves,1
0255_b,Rhexia virginica,"tenders,Young leaves",1
0256_a,Hypericum ascryon,stems,1
0256_b,Lythrum salicaria,"young shoots,flowers",1
0257_a,Stellaria graminea,tips,1
0257_b,Bidens alba,"leaves,flowerheads",1
0258_a,Bidens bipinnata,tender greens,1
0259_a,Honckenya peploides,"leaves,stem tips",1
0259_b,Sesuvium portulacastrum,"stem tips,leaves",1
0260_a,Stellaria caryophyllacea,leafy greens,1
0261_b,Drymaria cordata,leaves,1
0262_a,Proboscidea louisiana,"pods,seeds",1
0262_b,Phlox divaricata,"leaves,new flowers,buds",1
0263_a,"Asclepias quic

    Input:
    Cinnamon tree
    Lauraceae

    Output:

    Cinnamomum zeylanicum

    Input:
    The name of this plant is called 'Bleeding Heart'

    Output:

    Dicentra spectabilis","shoots,tender leafy tops,flower buds,pods,silk",1
0265_a,Pilea pumila,"stems,young greens",1
0265_b,Boehmeria cylindrica,"tops,shoots",1
0266_a,"Galinsoga Asteraceae

    Input:

    PRESENT, ROOTS
Tall, 1-stemmed herb with oblong-elliptic leaves,
genus Common Mallow Malva 2 Malvaceae IWE-323 (Mallow family)
and yellow, 5-petaled flowers


    Output:

    Malva Malvaceae",tender leafy tops,1
0266_b,Helianthus tuberosus,tubers,1
0267_a,Iva annua,seeds,1
0267_b,Ambrosia trifida,"fruits,seeds,pith",1
0268_a,Eclipta prostrata,"leaves,stem tips",1
0268_b,Pedicularis lanceolata,leaves,1
0269_a,Atriplex amaranthoides,leaves,1
0269_b,Arisaema triphyllum,corms,1
0270_b,Asparagus officinalis,young shoots,1
0271_a,Salsola tragus,stem tips,1
0271_b,"Suaeda spp.
    (The species name is implied but not explicitly stated in the text, so the output should still be a single binomial name.)","tender stem tips,leaves",1
0272_a,Amaranthus,"greens,young stems",1
0272_b,Amaranthus blitoides,tips,1
0273_a,Kochia scoparia,"Young tender leafy tops,seeds",1
0273_b,Portulaca oleracea,tender growth,1
0274_a,"Euphorbiaceae (Spurge family) contains the genus name. Search for the genus name within the parentheses and extract the first word. The species name follows the genus name and does not have parentheses.

    Output:

    Euphorbiaceae monanthogyna",leaves,1
0274_b,"Linum rigidum
    or
    Linum berlandieri
    depending on which one is being described in the text.",seeds,1
0275_a,Conyza canadensis,"new leaves,tender stem tips",1
0275_b,Bupleurum rotundifolium,leafy tips,1
0276_a,Polygonaceae japonica,shoots,1
0276_b,Persicaria polygonaceae,"young leaves,stem tips",1
0277_b,Persicaria macuios,"leaves,shoots",1
0278_a,Polygonum erectum,"leaves,seeds",1
0278_b,Rumex triangulivalvis,"young leaves,stems,petioles",1
0279_a,Phytolacca americana,"shoots,leaves",1
0279_b,Epilobium angustifolium,"shoots,Dried leaves,pith",1
0280_a,Parietaria pensylvanica,whole plant,1
0280_b,Ipomoea leptophylla,roots,1
0281_a,Comandra umbellata,seeds,1
0281_b,Commelina communis,"terminal sections,flowers,immature seedpods",1
0282_a,Commelina virginica,"laterals,shoots,leafy tops",1
0282_b,Streptopus amplexifolius,"shoots,greens,berries",1
0283_a,Streptopus lanceolatus,"tips,greens,berries",1
0283_b,Uvularia grandiflorum,young shoots,1
0284_a,Polygonatum biflorum,"rhizomes,shoots",1
0284_b,Maianthemum racemosum,"rhizomes,shoots",1
0285_b,Chenopodium amaranthoides,"tender leafy tops,seeds",1
0286_a,Impatiens balsaminae,"cotyledon leaves,ripe seeds",1
0286_b,Helianthus annuus,seeds,1
0287_a,Abutilon theophrasti,"tender stem tips,unripe seeds,ripe seeds",1
0287_b,Sida spinosa,leaves,1
0288_b,Atropa belladonna,"stem tips,leaves,ripe fruit",1
0289_a,Physalis heterophylla,fruit,1
0289_b,Laportea canadensis,"shoots, leaves, seeds",1
0290_a,Artemisia serrata,young leafy tips,1
0290_b,Solidago canadensis,shoots,1
0291_a,Penthorum sedoides,young greens,1
0291_b,Hylotelephium telephium,"leaves,young bots",1
0292_a,Oenothera grandiflora,"flowers,buds",1
0292_b,Campanula divaricata,tips,1
0293_b,Artemisia dracunculus,leaves,1
0294_a,Mugwort vulgaris,"leaves,youngest shoots",1
0294_b,Castilleja sessiflora,"shoots,tips",1
0295_a,Hydrocotyle americana,greens,1
0295_b,Cnidoscolus stimulosus,nuts,1
0296_a,Hibiscus aculeatus,"roots,Young leaves",1
0296_b,Hibiscus coccineus,"leafy stem tips, flower buds",1
0297_a,Modiola bristly caroliniana,"leaves,stem tips",1
0297_b,Hibiscus moscheutos,"Young leaves,Flowers,Immature pods",1
0298_b,Malvaviscus arboreus,"Young leaves,flowers,ripe fruits",1
0299_a,Kosteletzkya pentacarpos,"tender leafy tips,flowers,flower buds",1
0299_b,Althaea officinalis,"roots,shoots,Young greens",1
0300_a,Xanthium strumarium,burs,1
0300_b,Cakile edentula,"tender greens,stems",1
0301_a,Cycloloma atriplicifolium,seeds,1
0301_b,Chenopodium ambrosioides,leaves,1
0302_a,Chenopodium hybridum,"tips,seeds",1
0302_b,Oenothera speciosa,"stem tips,flower buds,flowers",1
0303_a,Cirsium arvense,"rhizomes,shoots",1
0303_b,Erechtites hieracifolia,Young leaves,1
0304_b,Sphaeralcea coccinea,"greens,buds,flowers",1
0305_a,Hibiscus trionum,"new parts,seeds",1
0305_b,"Oxalis
    species to be determined based on context.","greens, tiny pods",1
0306_a,Cleome serrulata,"stems,leaves,flowers,seeds",1
0306_b,Polanisia dodecandra,"tops,seeds",1
0307_a,Floerkia hotproserpinacoides,greens,1
0307_b,Polanisia dodecandra,"tops,seeds",1
0308_a,"Melilotus albus
    Melilotus officinalis","leaves,seeds",1
0308_b,Desmodium glutinosum,seeds,1
0309_a,Glycirrhiza lepidota,"rhizomes,shoots,flowers",1
0309_b,"Dalea candida
    Dalea purpurea","roots,leaves,young leaves",1
0310_a,Hedysarum alpinum,roots,1
0310_b,Astragalus crassicarpus,pods,1
0311_a,Pediomelum esculentum,roots,1
0311_b,Cannabis sativa,seeds,1
0312_a,Aralia racemosa,"roots,shoots,berries",1
0312_b,Pediomelum cuspidatum,root,1
0313_a,Aralia hispida,shoots,1
0005_b,Sabal minor,,0
0018_a,Taxus canadensis,,0
0020_b,Carya illinoinensis,,0
0020_b,Carya aquatica,,0
0021_a,Carya cordiformis,,0
0021_a,Carya ovata,,0
0021_b,Carya laciniosa,,0
0022_a,Carya tomentosa,,0
0022_a,Carya texana,,0
0022_b,Carya glabra,,0
0025_a,Corylus americana,,0
0026_a,Quercus nigra,nuts,0
0026_a,Quercus imbricaria,nuts,0
0026_b,Quercus rubra,nuts,0
0026_b,Quercus alba,nuts,0
0027_a,Quercus macrocarpa,nuts,0
0027_a,Quercus michauxii,nuts,0
0027_b,Quercus montana,nuts,0
0027_b,Quercus virginiana,nuts,0
0034_b,Celtis occidentalis,"fruit,cambium",0
0043_b,Robina pseudoacacia,,0
0046_a,Betula nigra,,0
0046_a,Betula alleghaniensis,,0
0046_a,Betula lenta,,0
0047_a,Acer rubrum,sap,0
0047_a,Acer saccharinum,sap,0
0047_a,Acer negundo,sap,0
0047_b,Ulmus rubra,,0
0048_a,Ulmus pumila,,0
0048_b,Egigaea repens,,0
0048_b,Epigaea repens,,0
0056_a,Rosa,"petals,hips,tea (leaves)",0
0064_a,Viburnum cassinoides,berries,0
0064_a,Viburnum nudum,berries,0
0064_a,Viburnum prunifolium,berries,0
0064_b,Viburnum rufidulum,berries,0
0064_b,Viburnum obovatum,berries,0
0073_a,Rhus,"shoots,berries",0
0074_a,Rhus glabra,"shoots,berries",0
0074_a,Rhus typhina,"shoots,berries",0
0079_a,Vitis,"tendrils,leaves,fruit",0
0085_a,Scirpus validus,,0
0087_a,Bolboschoenus fluviatilis,,0
0089_a,Acorus,,0
0091_b,Sium suave,,0
0093_a,Berula erecta,,0
0096_b,Sagittaria rigida,,0
0101_b,Allium tricoccum,,0
0116_a,Camassia,,0
0117_a,Aplectrum hyemale,,0
0121_b,Plantago lanceolata,,0
0122_a,Voila,,0
0130_a,Aralia nudicaulis,,0
0142_b,Dentaria multifida,,0
0142_b,Dentaria heterophylla,,0
0144_b,Rumex hastatalus,"leaves,stem,seeds",0
0147_a,Rumex longifolius,"leaves,stem,seeds",0
0147_b,Rumex fueginus,"leaves,stem,seeds",0
0147_b,Rumex patientia,"leaves,stem,seeds",0
0147_b,Rumex obtusifolius,"leaves,stem,seeds",0
0151_a,Aritium lappa,,0
0151_a,Arctium minus,"roots,stalks,petioles",0
0151_a,Arctium tomentosa,"roots,stalks,petioles",0
0153_b,Campanula americana,,0
0160_b,Oenothera biennis,,0
0163_a,Viola pubescens,,0
0166_a,Cirsium altissimum,"taproots,shoots,midribs,flower buds",0
0166_a,Cirsium horridulum,"taproots,shoots,midribs,flower buds",0
0166_b,Cirsium vulgare,"taproots,shoots,midribs,flower buds",0
0166_b,Cirsium muticum,"taproots,shoots,midribs,flower buds",0
0166_b,Onopordum acanthium,"taproots,shoots,midribs,flower buds",0
0167_a,Carduus nutans,"taproots,shoots,midribs,flower buds",0
0167_a,Silybum marianum,"taproots,shoots,midribs,flower buds",0
0171_a,Lactuca hirsuta,"leaves,shoots",0
0171_b,Lactuca floridana,"leaves,shoots",0
0172_a,Lactuca biennis,"leaves,shoots",0
0172_b,Lactuca pulchella,"leaves,shoots",0
0172_b,Lactuca saligna,"leaves,shoots",0
0173_a,Lactuca serriola,"leaves,shoots",0
0173_b,Lactuca ludoviciana,"leaves,shoots",0
0180_a,Hydrophyllum virginianum,"leaves,shoots",0
0190_a,Brassica nigra,,0
0195_b,Heracleum mantegazzianum,,0
0197_a,Sanicula europaea,,0
0197_a,Oxypolis rigidior,,0
0198_b,Pimpinella saxifraga,,0
0205_b,Ligusticum canadense,,0
0207_a,Ligusticum scoticum,,0
0208_b,Angelica atropurpurea,,0
0209_b,Angelica triquinata,,0
0212_a,Osmorhiza longistylis,,0
0215_a,Conioselinum chinense,,0
0216_a,Carum carvi,,0
0217_a,Perideridia americana,,0
0219_b,Anthriscus sylvestris,,0
0222_a,Chaerophyllum tainturieri,,0
0225_b,Lathyrus sylvestris,,0
0227_a,Lathyrus palustris,,0
0227_a,Lathyrus venosus,,0
0230_b,Vicia caroliniana,"shoots,leafy tips,flowers,seeds",0
0230_b,Vicia americana,"shoots,leafy tips,flowers,seeds",0
0231_a,Vicia villosa,"shoots,leafy tips,flowers,seeds",0
0231_b,Vicia cracca,"shoots,leafy tips,flowers,seeds",0
0236_b,Trillium,,0
0248_a,Mentha spicata,,0
0248_a,Mentha piperata,,0
0255_a,Urtica chamaedryoides,,0
0255_a,Urtica urens,,0
0260_b,Stellaria pubera,,0
0261_a,Stellaria aquatica,,0
0261_a,Cerastium fontanum,,0
0263_b,Asclepias syriaca,"shoots,leafy tops, flower buds, immature pods",0
0263_b,Asclepias speciosa,"shoots,leafy tops, flower buds, immature pods",0
0263_b,Asclepias viridiflora,"shoots,leafy tops, flower buds, immature pods",0
0264_a,Asclepias arenaria,"shoots,leafy tops, flower buds, immature pods",0
0264_a,Asclepias exaltata,"shoots,leafy tops, flower buds, immature pods",0
0277_a,Persicaria lapathifolia,,0
0277_a,Persicaria maculosa,,0
0277_a,Persicaria hydropiper,,0
0288_a,Solanum nigrum,,0
0298_a,Hibiscus laevis,,0
